127.0.0.1 - - [17/Dec/2019:00:37:14 +0530] "GET HTTP/1.1 " 400 1160
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:22 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:28 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:29 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:29 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:29 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:29 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:30 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:30 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:30 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:30 +0530] "GET /mywebapp/loginPage.html HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [17/Dec/2019:00:37:57 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:42:05 +0530] "GET HTTP/1.1 " 400 1160
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:42:37 +0530] "GET /mywebapp/LoginSession2.html HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:46:41 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:47:09 +0530] "POST /mywebapp/login HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:48:36 +0530] "GET /mywebapp/searchEmployee2.html HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:48:45 +0530] "GET /mywebapp/searchEmployee2 HTTP/1.1" 500 4303
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:49:26 +0530] "GET /mywebapp/searchEmployee2.html HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:50:32 +0530] "GET /mywebapp/searchEmpForm.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:50:37 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:50:51 +0530] "GET /mywebapp/searchEmployee2?empId=102 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:52:34 +0530] "GET /mywebapp/searchEmployee2?empId=102 HTTP/1.1" 500 4303
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:52:44 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:54:40 +0530] "GET /mywebapp/searchEmpForm.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:54:46 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:55:03 +0530] "GET /mywebapp/searchEmp2 HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:55:13 +0530] "GET /mywebapp/searchEmpForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:55:19 +0530] "GET /mywebapp/searchEmployee2?empId=102 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:55:41 +0530] "GET /mywebapp/searchEmployee2?empId=102 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:55:47 +0530] "GET /mywebapp/searchEmployee2?empId=102 HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:56:05 +0530] "GET /mywebapp/searchEmpForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:56:10 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:56:17 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:11:57:01 +0530] "GET /mywebapp/searchEmployee2?empId=101 HTTP/1.1" 500 4303
0:0:0:0:0:0:0:1 - - [17/Dec/2019:15:59:36 +0530] "GET HTTP/1.1 " 400 1160
0:0:0:0:0:0:0:1 - - [17/Dec/2019:15:59:44 +0530] "GET /mywebapp/lloginPage.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:15:59:46 +0530] "GET /mywebapp/lloginPage.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:15:59:46 +0530] "GET /mywebapp/lloginPage.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:00:35 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:01:02 +0530] "POST /mywebapp/login HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:14 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:16 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:17 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:17 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:18 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:16:06:18 +0530] "GET /mywebapp/LoginPage.html HTTP/1.1" 304 -
